gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2563530150	443	23.05	172	443	14	289	8.0e-29	121	COG1639	HD-like signal output (HDOD) domain, no enzymatic activity	289
2563530151	526	20.65	160	497	8	334	2.0e-08	54.4	COG3391	DNA-binding beta-propeller fold protein YncE	381
2563530152	92	41.3	1	92	11	102	8.0e-16	75.4	COG2863	Cytochrome c553	121
2563530157	152	19.84	1	122	5	127	1.0e-10	59.3	COG1522	DNA-binding transcriptional regulator, Lrp family	154
2563530158	165	19.87	1	154	5	152	3.0e-12	64.7	COG1522	DNA-binding transcriptional regulator, Lrp family	154
2563530159	147	20	1	122	6	127	5.0e-14	70.5	COG1522	DNA-binding transcriptional regulator, Lrp family	154
2563530160	163	19.85	1	129	5	127	2.0e-16	78.6	COG1522	DNA-binding transcriptional regulator, Lrp family	154
2563530161	402	31.1	33	401	1	347	5.0e-50	192	COG0535	Radical SAM superfamily enzyme, MoaA/NifB/PqqE/SkfB family	347
2563530163	196	33.33	1	191	11	204	4.0e-40	157	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
2563530164	238	40.68	5	237	7	238	3.0e-65	241	COG0217	Transcriptional and/or translational regulatory protein YebC/TACO1	241
2563530170	431	55.17	26	428	1	402	1.0e-116	413	COG0004	Ammonia channel protein AmtB	409
2563530171	112	72.32	1	112	1	112	7.0e-40	155	COG0347	Nitrogen regulatory protein PII	112
2563530172	465	53.58	33	464	2	403	3.0e-117	415	COG0004	Ammonia channel protein AmtB	409
2563530173	112	69.64	1	112	1	112	9.0e-40	154	COG0347	Nitrogen regulatory protein PII	112
2563530175	469	48.53	1	469	1	443	0.0e+00	517	COG0174	Glutamine synthetase	443
2563530176	472	55.86	8	472	1	422	0.0e+00	609	COG0065	Homoaconitase/3-isopropylmalate dehydratase large subunit	423
2563530177	203	48.77	1	203	1	191	7.0e-70	256	COG0066	3-isopropylmalate dehydratase small subunit	191
2563530179	514	34.93	6	415	1	409	3.0e-76	279	COG0119	Isopropylmalate/homocitrate/citramalate synthases	409
2563530186	2863	44.31	1772	2863	1	1054	0.0e+00	1003	COG3459	Cellobiose phosphorylase	1056
2563530195	296	40.1	12	216	11	206	2.0e-38	152	COG3179	Predicted chitinase	206
2563530199	976	35.07	233	496	4	267	2.0e-65	244	COG1352	Methylase of chemotaxis methyl-accepting proteins	268
2563530201	802	28.93	1	611	1	553	2.0e-116	413	COG0550	DNA topoisomerase IA	570
2563530202	457	26.96	139	340	4	200	2.0e-37	150	COG1611	Predicted Rossmann fold nucleotide-binding protein	205
2563530204	68	64.71	1	68	1	67	4.0e-23	99.8	COG1278	Cold shock protein, CspA family	67
2563530207	409	40.24	1	408	1	412	5.0e-107	381	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	412
2563530208	241	43.03	1	240	4	250	7.0e-47	180	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	251
2563530209	166	34.81	34	164	15	148	2.0e-23	102	COG4706	Predicted 3-hydroxylacyl-ACP dehydratase, HotDog domain	161
2563530210	423	32.64	8	422	10	410	2.0e-67	250	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	412
2563530212	425	20.34	25	425	5	391	4.0e-31	129	COG0644	Dehydrogenase (flavoprotein)	396
2563530213	790	30.42	5	772	2	779	3.0e-87	316	COG4258	Predicted exporter	788
2563530214	195	21.24	1	185	6	195	3.0e-08	52.3	COG2834	Outer membrane lipoprotein-sorting protein	211
2563530215	137	25.56	6	137	7	137	1.0e-18	85.7	COG0824	Acyl-CoA thioesterase FadM	137
2563530216	179	13.84	5	160	4	136	3.0e-03	34.8	COG1943	REP element-mobilizing transposase RayT	136
2563530217	536	38.37	5	506	2	496	0.0e+00	473	COG2986	Histidine ammonia-lyase	498
2563530218	559	45.63	248	555	1	305	2.0e-84	306	COG4261	Predicted acyltransferase, LPLAT superfamily	309
2563530220	183	40.22	2	175	6	187	2.0e-28	118	COG4648	Uncharacterized membrane protein	201
2563530221	82	35.53	3	78	2	77	2.0e-06	44.1	COG0236	Acyl carrier protein	80
2563530222	82	27.16	1	81	6	79	1.0e-03	35.3	COG0236	Acyl carrier protein	80
2563530223	264	24.54	27	233	2	209	9.0e-19	87.7	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase	255
2563530225	288	34.96	14	136	8	129	4.0e-25	108	COG2005	DNA-binding transcriptional regulator ModE (molybdenum-dependent)	130
2563530227	254	34.15	10	254	15	258	2.0e-44	172	COG0725	ABC-type molybdate transport system, periplasmic component	258
2563530228	228	45.33	2	215	1	214	6.0e-58	217	COG4149	ABC-type molybdate transport system, permease component	225
2563530229	392	46.43	1	391	1	351	9.0e-105	373	COG4148	ABC-type molybdate transport system, ATPase component	352
2563530230	142	43.48	1	69	1	69	1.0e-10	59.2	COG3585	Molybdopterin-binding protein	69
2563530231	389	35.67	2	355	1	351	8.0e-61	227	COG4148	ABC-type molybdate transport system, ATPase component	352
2563530236	268	25.4	144	268	2	127	3.0e-15	75.7	COG2207	AraC-type DNA-binding domain and AraC-containing proteins	127
2563530237	346	16.53	130	339	17	234	2.0e-05	43.8	COG5285	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	299
2563530239	110	35.53	32	107	12	87	7.0e-15	72.3	COG5606	Predicted DNA-binding protein, XRE-type HTH domain	91
2563530240	117	50.46	4	112	7	115	2.0e-30	124	COG4679	Phage-related protein	116
2563530241	97	46.51	12	97	12	97	3.0e-18	83.3	COG1669	Predicted nucleotidyltransferase	97
2563530242	113	39.82	1	113	3	114	7.0e-23	99.2	COG2361	Uncharacterized conserved protein, contains HEPN domain	117
2563530245	412	27.3	20	409	3	385	2.0e-49	190	COG0247	Fe-S oxidoreductase	388
2563530248	293	68.35	3	280	1	278	2.0e-119	422	COG1348	Nitrogenase subunit NifH, an ATPase	278
2563530249	493	37.25	34	484	8	452	8.0e-103	367	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2563530250	523	28.74	33	519	1	453	5.0e-81	295	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2563530251	74	35.29	4	71	3	67	1.0e-07	47.7	COG5554	Nitrogen fixation protein	69
2563530253	236	24.3	104	205	2	105	7.0e-03	34.5	COG1433	Predicted Fe-Mo cluster-binding protein, NifX family	121
2563530258	187	32.21	4	147	32	174	6.0e-19	87.4	COG1573	Uracil-DNA glycosylase	202
2563530259	254	45.25	1	254	1	261	2.0e-73	269	COG0708	Exonuclease III	261
2563530262	143	47.93	13	132	2	121	5.0e-26	110	COG1662	Transposase and inactivated derivatives, IS1 family	121
2563530264	102	32.65	1	98	1	97	5.0e-11	59.3	COG3668	Plasmid stabilization system protein ParE	98
2563530266	519	31.78	15	457	14	449	3.0e-84	306	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2563530267	465	28.09	6	436	22	437	3.0e-60	226	COG2710	Nitrogenase molybdenum-iron protein, alpha and beta chains	456
2563530268	143	25.23	5	108	1	106	3.0e-03	34.5	COG1433	Predicted Fe-Mo cluster-binding protein, NifX family	121
2563530273	107	44.64	48	103	2	57	2.0e-14	70.7	COG3411	(2Fe-2S) ferredoxin	64
2563530276	325	23.04	18	224	19	226	8.0e-17	81.5	COG2014	Uncharacterized conserved protein, contains DUF4213 and DUF364 domains	250
2563530279	102	25.74	1	98	2	102	8.0e-11	58.8	COG0607	Rhodanese-related sulfurtransferase	110
2563530281	237	23.36	107	205	1	106	2.0e-03	36.8	COG1433	Predicted Fe-Mo cluster-binding protein, NifX family	121
2563530285	336	47.75	1	325	13	337	2.0e-87	315	COG0429	Predicted hydrolase of the alpha/beta-hydrolase fold	345
2563530287	612	33.57	34	593	15	567	2.0e-110	394	COG1132	ABC-type multidrug transport system, ATPase and permease component	567
2563530289	262	50.6	3	251	6	255	6.0e-86	310	COG0024	Methionine aminopeptidase	255
2563530291	362	35.15	3	164	1	161	1.0e-24	107	COG3666	Transposase	161
2563530293	181	32.18	1	173	1	148	4.0e-22	98.1	COG0716	Flavodoxin	151
2563530296	206	30.24	1	197	1	201	5.0e-21	94.5	COG0625	Glutathione S-transferase	211
2563530297	131	28.81	12	123	11	127	5.0e-10	56.9	COG2703	Hemerythrin	144
