gene_oid	gene_length	query_start	query_end	subj_start	subj_end	evalue	bit_score	pfam_id	pfam_name	pfam_length
2563530150	443	181	369	1	189	3.0e-37	127.9	pfam08668	HDOD	196
2563530151	526	30	104	4	67	1.1e-10	41.6	pfam13442	Cytochrome_CBB3	67
2563530151	526	158	510	19	365	2.8e-46	157.6	pfam02239	Cytochrom_D1	368
2563530152	92	12	86	5	66	4.3e-08	33.3	pfam13442	Cytochrome_CBB3	67
2563530153	101	20	92	7	64	1.1e-09	38.4	pfam13442	Cytochrome_CBB3	67
2563530154	174	21	155	2	133	3.6e-17	62.9	pfam11684	DUF3280	137
2563530155	387	21	382	3	367	6.6e-115	383.4	pfam02239	Cytochrom_D1	368
2563530158	165	2	46	1	42	1.8e-06	27.6	pfam13404	HTH_AsnC-type	42
2563530159	147	1	45	1	41	6.3e-09	35.4	pfam13404	HTH_AsnC-type	42
2563530160	163	2	46	1	42	6.5e-09	35.3	pfam13404	HTH_AsnC-type	42
2563530161	402	45	178	10	136	3.5e-09	36.9	pfam13353	Fer4_12	139
2563530161	402	54	211	3	164	3.2e-20	73	pfam04055	Radical_SAM	167
2563530161	402	304	367	6	65	1.9e-04	21.7	pfam13186	SPASM	65
2563530163	196	49	179	1	130	3.4e-42	143.5	pfam03641	Lysine_decarbox	132
2563530164	238	3	236	2	230	2.7e-69	233.1	pfam01709	Transcrip_reg	231
2563530165	46	7	44	4	27	3.9e-08	33.6	pfam03400	DDE_Tnp_IS1	131
2563530166	93	5	38	6	32	4.1e-08	32.7	pfam03811	Zn_Tnp_IS1	35
2563530166	93	46	91	1	46	2.6e-20	71.6	pfam12759	HTH_Tnp_IS1	46
2563530169	979	144	297	1	151	8.2e-19	68.1	pfam05359	DUF748	152
2563530169	979	355	508	1	152	2.2e-30	105.7	pfam05359	DUF748	152
2563530169	979	575	720	2	152	4.8e-32	111.1	pfam05359	DUF748	152
2563530170	431	32	428	1	399	8.2e-115	383.5	pfam00909	Ammonium_transp	399
2563530171	112	4	105	1	102	3.0e-43	146.4	pfam00543	P-II	102
2563530172	465	38	463	1	399	3.9e-117	391.2	pfam00909	Ammonium_transp	399
2563530173	112	4	105	1	102	3.0e-42	143.2	pfam00543	P-II	102
2563530174	454	56	454	2	348	2.5e-101	339.2	pfam07642	BBP2	348
2563530175	469	14	95	1	83	6.5e-32	109	pfam03951	Gln-synt_N	83
2563530175	469	102	466	1	345	0.0e+00	455	pfam00120	Gln-synt_C	345
2563530176	472	12	464	1	455	0.0e+00	487	pfam00330	Aconitase	455
2563530177	203	1	124	1	129	1.4e-34	119.1	pfam00694	Aconitase_C	131
2563530179	514	7	275	2	264	7.6e-52	176.3	pfam00682	HMGL-like	264
2563530179	514	370	506	2	130	1.0e-19	70.6	pfam08502	LeuA_dimer	133
2563530180	68	12	61	1	51	7.8e-10	38.9	pfam04324	Fer2_BFD	51
2563530183	88	1	76	1	50	1.2e-07	31.3	pfam02604	PhdYeFM_antitox	75
2563530186	2863	1321	1535	2	219	8.0e-12	45.1	pfam10091	Glycoamylase	220
2563530186	2863	1584	1831	3	250	1.0e-79	267.4	pfam06165	Glyco_transf_36	251
2563530186	2863	2091	2332	1	251	5.2e-83	278.2	pfam06165	Glyco_transf_36	251
2563530193	272	29	90	5	57	1.0e-06	28.7	pfam01471	PG_binding_1	57
2563530193	272	144	241	7	83	3.3e-09	37.1	pfam05257	CHAP	83
2563530195	296	229	286	3	56	1.1e-16	60.6	pfam01471	PG_binding_1	57
2563530196	360	44	318	10	255	3.3e-13	49.4	pfam12275	DUF3616	330
