gene_oid	gene_length	feature_type	start_coord	end_coord
2563530151	526	cleavage	27	28
2563530154	174	cleavage	19	20
2563530155	387	cleavage	18	19
2563530162	259	cleavage	22	23
2563530172	465	cleavage	22	23
2563530174	454	cleavage	30	31
2563530206	120	cleavage	21	22
2563530211	186	cleavage	18	19
2563530214	195	cleavage	21	22
2563530227	254	cleavage	24	25
2563530238	109	cleavage	21	22
2563530286	137	cleavage	20	21
2563530347	129	cleavage	22	23
2563530353	112	cleavage	20	21
2563530357	431	cleavage	23	24
2563530380	666	cleavage	24	25
2563530404	127	cleavage	22	23
2563530430	370	cleavage	19	20
2563530434	2305	cleavage	28	29
2563530437	1221	cleavage	26	27
2563530439	191	cleavage	27	28
2563530449	188	cleavage	19	20
2563530483	285	cleavage	17	18
2563530496	354	cleavage	22	23
2563530517	154	cleavage	18	19
2563530529	164	cleavage	17	18
2563530531	476	cleavage	22	23
2563530539	201	cleavage	37	38
2563530543	142	cleavage	20	21
2563530549	170	cleavage	24	25
2563530552	129	cleavage	26	27
2563530574	263	cleavage	22	23
2563530592	127	cleavage	23	24
2563530604	261	cleavage	19	20
2563530612	186	cleavage	19	20
2563530624	160	cleavage	31	32
2563530625	230	cleavage	20	21
2563530626	120	cleavage	24	25
2563530627	333	cleavage	25	26
2563530634	466	cleavage	33	34
2563530637	426	cleavage	26	27
2563530667	134	cleavage	24	25
2563530677	308	cleavage	23	24
2563530678	170	cleavage	22	23
2563530686	112	cleavage	22	23
2563530693	132	cleavage	24	25
2563530700	319	cleavage	21	22
2563530703	80	cleavage	23	24
2563530715	232	cleavage	21	22
2563530824	581	cleavage	19	20
2563530832	208	cleavage	20	21
2563530833	554	cleavage	33	34
2563530840	221	cleavage	21	22
2563530866	340	cleavage	35	36
2563530868	389	cleavage	24	25
2563530892	127	cleavage	21	22
2563530904	472	cleavage	22	23
2563530905	349	cleavage	21	22
2563530962	451	cleavage	25	26
2563530975	188	cleavage	20	21
2563530993	370	cleavage	20	21
2563530994	117	cleavage	23	24
2563531022	632	cleavage	24	25
2563531026	190	cleavage	20	21
2563531035	92	cleavage	23	24
2563531036	180	cleavage	19	20
2563531043	268	cleavage	19	20
2563531062	330	cleavage	25	26
2563531075	456	cleavage	28	29
2563531144	210	cleavage	24	25
2563531190	332	cleavage	22	23
2563531191	391	cleavage	27	28
2563531276	156	cleavage	25	26
2563531285	131	cleavage	23	24
2563531292	100	cleavage	22	23
2563531294	328	cleavage	35	36
2563531318	299	cleavage	20	21
2563531344	172	cleavage	27	28
2563531350	534	cleavage	24	25
2563531364	155	cleavage	23	24
2563531367	132	cleavage	30	31
2563531379	562	cleavage	23	24
2563531386	200	cleavage	28	29
2563531389	131	cleavage	26	27
2563531390	128	cleavage	26	27
2563531418	180	cleavage	20	21
2563531422	542	cleavage	27	28
2563531424	420	cleavage	23	24
2563531428	609	cleavage	25	26
2563531429	91	cleavage	22	23
2563531435	1171	cleavage	21	22
2563531442	431	cleavage	23	24
2563531443	132	cleavage	25	26
2563531452	134	cleavage	23	24
