gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2563530153	101	57.7	4	100	6	102	7.9e-28	124.8	KO:K19344	cytochrome c55X		Yes
2563530155	387	70.7	1	387	4	392	0.0e+00	572.4	KO:K19345	protein NirF		Yes
2563530163	196	72.5	4	196	1	193	0.0e+00	295	KO:K06966			Yes
2563530170	431	79.9	10	431	8	428	0.0e+00	693.3	KO:K03320	ammonium transporter, Amt family		Yes
2563530171	112	92	1	112	1	112	0.0e+00	205.3	KO:K04752	nitrogen regulatory protein P-II 2		Yes
2563530172	465	77.5	1	464	1	479	0.0e+00	756.5	KO:K03320	ammonium transporter, Amt family		Yes
2563530173	112	92	1	112	1	112	0.0e+00	203.4	KO:K04752	nitrogen regulatory protein P-II 2		Yes
2563530175	469	89.3	1	469	1	469	0.0e+00	872.5	KO:K01915	glutamine synthetase [EC:6.3.1.2]	EC:6.3.1.2	Yes
2563530176	472	81.1	3	472	6	475	0.0e+00	784.6	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
2563530176	472	81.1	3	472	6	475	0.0e+00	784.6	KO:K01703	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
2563530177	203	84.3	1	203	1	204	0.0e+00	364	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.33	Yes
2563530177	203	84.3	1	203	1	204	0.0e+00	364	KO:K01704	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	EC:4.2.1.35	Yes
2563530179	514	81.5	1	509	1	509	0.0e+00	855.9	KO:K09011	D-citramalate synthase [EC:2.3.1.182]	EC:2.3.1.182	Yes
2563530186	2863	50.1	21	2863	1	2874	0.0e+00	2724.1	KO:K13688	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]	EC:2.4.1.-	Yes
2563530195	296	55.9	7	290	13	292	0.0e+00	299.3	KO:K03791	putative chitinase		Yes
2563530199	976	57.9	29	849	43	878	0.0e+00	932.9	KO:K13924	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	EC:2.1.1.80	Yes
2563530199	976	57.9	29	849	43	878	0.0e+00	932.9	KO:K13924	two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]	EC:3.1.1.61	Yes
2563530201	802	50.2	1	799	1	802	0.0e+00	788.5	KO:K03169	DNA topoisomerase III [EC:5.99.1.2]	EC:5.99.1.2	Yes
2563530202	457	76.3	6	457	5	456	0.0e+00	716.1	KO:K06966			Yes
2563530204	68	77.6	1	67	1	66	3.0e-23	109	KO:K03704	cold shock protein (beta-ribbon, CspA family)		Yes
2563530207	409	76	2	406	1	405	0.0e+00	638.6	KO:K09458	3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]	EC:2.3.1.179	Yes
2563530208	241	81.3	1	241	1	241	0.0e+00	403.3	KO:K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	EC:1.1.1.100	Yes
