gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
2563530161	402	303	394	4.7e-11	30.2	TIGR04085	radical SAM additional 4Fe4S-binding SPASM domain
2563530161	402	49	402	0.0e+00	632.8	TIGR04051	heme d1 biosynthesis radical SAM protein NirJ
2563530163	196	5	182	3.3e-61	192.2	TIGR00730	TIGR00730 family protein
2563530164	238	1	237	8.2e-62	195.1	TIGR01033	DNA-binding regulatory protein, YebC/PmpR family
2563530170	431	30	428	0.0e+00	443.1	TIGR00836	ammonium transporter
2563530172	465	36	463	0.0e+00	444.2	TIGR00836	ammonium transporter
2563530175	469	4	468	0.0e+00	680.3	TIGR00653	glutamine synthetase, type I
2563530176	472	8	472	0.0e+00	770.3	TIGR00170	3-isopropylmalate dehydratase, large subunit
2563530177	203	1	187	9.6e-86	272.5	TIGR00171	3-isopropylmalate dehydratase, small subunit
2563530198	739	188	309	7.7e-22	64.9	TIGR00229	PAS domain S-box
2563530198	739	309	475	9.4e-50	155.6	TIGR00254	diguanylate cyclase (GGDEF) domain
2563530199	976	841	957	3.7e-15	42.3	TIGR00229	PAS domain S-box
2563530201	802	1	412	4.6e-126	407.9	TIGR01056	DNA topoisomerase III, bacteria and conjugative plasmid
2563530208	241	5	241	7.2e-123	394.6	TIGR01831	3-oxoacyl-(acyl-carrier-protein) reductase, putative
2563530215	137	8	125	1.4e-20	60	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family
2563530217	536	1	533	3.2e-104	335.5	TIGR01226	phenylalanine ammonia-lyase
2563530221	82	4	79	3.4e-15	42	TIGR00517	acyl carrier protein
2563530222	82	1	81	4.9e-11	28.6	TIGR00517	acyl carrier protein
2563530223	264	75	196	3.2e-19	55.1	TIGR00530	1-acyl-sn-glycerol-3-phosphate acyltransferases
2563530225	288	129	197	6.3e-19	55	TIGR00638	molybdenum-pterin binding domain
2563530225	288	23	122	2.1e-28	85.6	TIGR00637	ModE molybdate transport repressor domain
2563530227	254	32	249	5.1e-79	251.2	TIGR01256	molybdenum ABC transporter, periplasmic molybdate-binding protein
2563530228	228	11	220	1.8e-75	239.2	TIGR02141	molybdate ABC transporter, permease protein
2563530229	392	4	328	0.0e+00	424.3	TIGR02142	molybdenum ABC transporter, ATP-binding protein
2563530230	142	1	69	1.9e-27	81.3	TIGR00638	molybdenum-pterin binding domain
