gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2576837533	526	15	120	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837533	526	30	108	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837533	526	115	507	SUPERFAMILY	SSF51004	IPR011048	Cytochrome cd1-nitrite reductase-like, haem d1 domain	
2576837534	92	9	88	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837534	92	12	91	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837535	101	10	98	ProSiteProfiles	PS51007	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837535	101	20	92	SUPERFAMILY	SSF46626	IPR009056	Cytochrome c-like domain	GO:0009055|GO:0020037
2576837537	387	24	384	SUPERFAMILY	SSF51004	IPR011048	Cytochrome cd1-nitrite reductase-like, haem d1 domain	
2576837540	165	2	65	SUPERFAMILY	SSF46785			
2576837541	147	22	48	ProSitePatterns	PS00519	IPR019885	Transcription regulator HTH, AsnC-type, conserved site	
2576837541	147	1	109	SMART	SM00344	IPR019888	Transcription regulator AsnC-type	GO:0003700|GO:0005622|GO:0006355|GO:0043565
2576837541	147	1	62	SUPERFAMILY	SSF46785			
2576837542	163	23	49	ProSitePatterns	PS00519	IPR019885	Transcription regulator HTH, AsnC-type, conserved site	
2576837542	163	2	114	SMART	SM00344	IPR019888	Transcription regulator AsnC-type	GO:0003700|GO:0005622|GO:0006355|GO:0043565
2576837542	163	1	65	SUPERFAMILY	SSF46785			
2576837543	402	50	253	SMART	SM00729	IPR006638	Elongator protein 3/MiaB/NifB	GO:0003824|GO:0051536
2576837543	402	50	374	SUPERFAMILY	SSF102114			
2576837545	196	3	180	SUPERFAMILY	SSF102405			
2576837546	238	1	237	SUPERFAMILY	SSF75625			
2576837550	62	1	20	ProSiteProfiles	PS51257			
2576837552	431	184	209	ProSitePatterns	PS01219	IPR018047	Ammonium transporter, conserved site	GO:0008519|GO:0016020|GO:0072488
2576837552	431	26	409	SUPERFAMILY	SSF111352	IPR024041	Ammonium transporter AmtB-like domain	GO:0008519|GO:0015696|GO:0016020
2576837553	112	1	112	ProSiteProfiles	PS51343	IPR002187	Nitrogen regulatory protein PII	GO:0006808|GO:0030234
2576837553	112	4	105	SMART	SM00938	IPR002187	Nitrogen regulatory protein PII	GO:0006808|GO:0030234
2576837553	112	46	51	ProSitePatterns	PS00496	IPR002332	Nitrogen regulatory protein P-II, urydylation site	GO:0006808|GO:0030234
2576837553	112	1	112	SUPERFAMILY	SSF54913	IPR011322	Nitrogen regulatory PII-like, alpha/beta	
2576837553	112	83	96	ProSitePatterns	PS00638	IPR017918	Nitrogen regulatory protein PII, conserved site	GO:0006808|GO:0030234
2576837554	465	212	237	ProSitePatterns	PS01219	IPR018047	Ammonium transporter, conserved site	GO:0008519|GO:0016020|GO:0072488
2576837554	465	32	444	SUPERFAMILY	SSF111352	IPR024041	Ammonium transporter AmtB-like domain	GO:0008519|GO:0015696|GO:0016020
2576837555	112	1	112	ProSiteProfiles	PS51343	IPR002187	Nitrogen regulatory protein PII	GO:0006808|GO:0030234
2576837555	112	4	105	SMART	SM00938	IPR002187	Nitrogen regulatory protein PII	GO:0006808|GO:0030234
2576837555	112	46	51	ProSitePatterns	PS00496	IPR002332	Nitrogen regulatory protein P-II, urydylation site	GO:0006808|GO:0030234
2576837555	112	1	112	SUPERFAMILY	SSF54913	IPR011322	Nitrogen regulatory PII-like, alpha/beta	
2576837555	112	83	96	ProSitePatterns	PS00638	IPR017918	Nitrogen regulatory protein PII, conserved site	GO:0006808|GO:0030234
2576837556	454	56	123	SUPERFAMILY	SSF56935			
2576837556	454	155	358	SUPERFAMILY	SSF56935			
2576837556	454	395	452	SUPERFAMILY	SSF56935			
2576837557	469	386	398	ProSitePatterns	PS00182	IPR001637	Glutamine synthetase class-I, adenylation site	
2576837557	469	3	100	SUPERFAMILY	SSF54368	IPR008147	Glutamine synthetase, beta-Grasp	GO:0004356|GO:0006542|GO:0006807
2576837557	469	50	68	ProSitePatterns	PS00180	IPR027302	Glutamine synthetase, N-terminal conserved site	
2576837557	469	259	274	ProSitePatterns	PS00181	IPR027303	Glutamine synthetase, glycine-rich site	
2576837557	469	102	468	SUPERFAMILY	SSF55931			
2576837558	472	7	471	SUPERFAMILY	SSF53732	IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha	GO:0008152
2576837558	472	406	419	ProSitePatterns	PS01244	IPR018136	Aconitase family, 4Fe-4S cluster binding site	
2576837559	203	1	196	SUPERFAMILY	SSF52016	IPR015928	Aconitase/3-isopropylmalate dehydratase, swivel	GO:0008152
2576837561	514	8	269	ProSiteProfiles	PS50991	IPR000891	Pyruvate carboxyltransferase	GO:0003824
2576837561	514	15	31	ProSitePatterns	PS00815	IPR002034	Alpha-isopropylmalate/homocitrate synthase, conserved site	GO:0019752|GO:0046912
2576837561	514	204	217	ProSitePatterns	PS00816	IPR002034	Alpha-isopropylmalate/homocitrate synthase, conserved site	GO:0019752|GO:0046912
2576837561	514	370	506	SMART	SM00917	IPR013709	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	GO:0003852|GO:0009098
2576837561	514	391	503	SUPERFAMILY	SSF110921	IPR013709	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	GO:0003852|GO:0009098
2576837561	514	5	292	SUPERFAMILY	SSF51569			
2576837565	88	1	47	SUPERFAMILY	SSF143120			
2576837568	2863	2351	2863	SUPERFAMILY	SSF48208	IPR008928	Six-hairpin glycosidase-like	GO:0003824
2576837568	2863	1562	1622	SMART	SM01068	IPR009342	Putative carbohydrate binding domain	
2576837568	2863	2068	2133	SMART	SM01068	IPR009342	Putative carbohydrate binding domain	
2576837568	2863	1575	1834	SUPERFAMILY	SSF74650	IPR011013	Galactose mutarotase-like domain	GO:0003824|GO:0005975|GO:0030246
2576837568	2863	2068	2334	SUPERFAMILY	SSF74650	IPR011013	Galactose mutarotase-like domain	GO:0003824|GO:0005975|GO:0030246
2576837570	184	1	33	ProSiteProfiles	PS51257			
